word,meaning,source,,word_type,gender,direct translation
bama,"anger with reason, but with no one to blame, which is not futile (See also: bala, bana, bara, bina) {orig}",orig,,neg emotion,,no
ban,"to give, to make a present of, to place in the hands of, to pass from one to another {orig}",orig,,,,
bana,"anger with reason, with no one to blame, which is futile (See also bara, bala, bama, bina) {orig}",orig,,neg emotion,,no
baneban,"forgiveness, to forgive {orig}",orig,,relationship,,
banibel,"give and take, to give and take [ban=give + i=and + bel=take] {SH}",new,,,,
bara,"anger with reason, with someone to blame, which is futile (See also: bala, bama, bana, bina) {orig}",orig,,neg emotion,,no
bash,"1) thorn, a sharp pointed woody extension of a stem or leaf {orig}",orig,,plant,,
bash,2) common sense {orig},orig,,,,
bath,1) six (6) number {orig},orig,,number,,
bash,"2) nail, body part general term: fingernail, toenail, claw {orig}",orig,,body,,
batha,fork {orig},orig,,food,,
bathethab,sixteen (16) number [bath=6 + thab=l0] {orig},orig,,number,,
be,it/she/he: pronoun: 3rd person: singular: neutral,blank,,grammar,,
bé,"I say as a promise…; Promise Speech Act, neutral {orig}",orig,,grammar,,
bedi,"to learn, a learning {orig}",orig,,personal action,,
bédi,"promise, to promise {Grammar Updates: MLM}",new,,,,
bedihá,"student, learner [bedi=learning + -á=doer] {orig}",orig,,person,,
bedihim,"school field trip, travel for purpose of learning [bedi=learn + (h)im=travel] {new}",new,,,,
bediholowod,"class, group of students who are taught together [bedi=learn + (h)olowod=group] {new}",new,,,,
bedilhoth,"useless knowledge lesson [bedi=learn + -lh-=pejorative + loth=information] (See also: bedina, bediloth, bediwoth) {Grammar Updates: AH}",new,,,,no
bediloth,"knowledge lesson [bedi=learn + loth=information] (See also: bedina, bedilhoth, bediwoth) {Grammar Updates: AH}",new,,,,no
bédim,"contract, deal, to make a deal, to make a contract {SH}",new,,relationship,,
bedina,"lesson (See also: bediloth, bedilhoth, bediwoth) {Grammar Updates: AH}",new,,,,
bedishod,classroom [bedi=learn + shod=room] {new},new,,place,,
bediwoth,"wisdom lesson [bedi=learn + woth=wisdom] (See also: bedina, bediloth, bedilhoth) {Grammar Updates: AH}",new,,,,no
bée,"I say in warning…; Warning Speech Act, neutral {orig}",orig,,grammar,,
behal,"work counter, work surface surface {orig}",orig,,object,,no
beheb,"barter, trade, to barter, to trade [eb (buy/sell) + mirrored eb] {AB}",new,,,,
behili,"fluid (thick), such as corn syrup consistency",blank,,material,,no
bel,"to take, to take away, to get something into one’s possession {orig}",orig,,personal action,,
belid,"house, structure serving as a dwelling (See also: beth) {orig}",orig,,place,,
belidá,carpenter [belid=house + -á=doer] {orig},orig,,person,,
ben,"they, many (more than 5): pronoun: 3rd person: many: neutral",blank,,grammar,,
bin,honored,blank,,relationship,,
ban,beloved,blank,,relationship,,
benem,"stay, to stay, to continue to be in a place or condition {orig}",orig,,personal action,,
beneth,"them (many): pronoun. 3rd person, many, neutral, object [ben=they + -th=object marker]",blank,,grammar,,
berídan,aunt {orig},orig,,relationship,,
beth,"1) home, place where one lives (See also: belid) {orig}",orig,,place,,
betheb,"mirror, to mirror {orig}",orig,,object,,
bethud,cave [beth=home + ud=stone] {SHE},new,,place,,
beye,somebody/someone/something – look to verb to distinguish: 3rd person singular indefinite pronoun,blank,,grammar,,
beyóo,itself/herself/himself [be=it/she/he + -yóo=reflexive marker],blank,,grammar,,
beyóozh,"themselves, several [bezh=they,several + -(e)yóo=reflexive marker]: 3rd person, several, reflexive pronoun",blank,,grammar,,
bezh,"they (several, 2 to 5 individuals): pronoun: 3rd person: neutral",blank,,grammar,,
bezheth,"them (several): pronoun. 3rd person, several, neutral, object [bezh=they + -th=object marker]",blank,,grammar,,
bid,1) nerve (boday part) {orig},orig,,body,,
bíi,"I say…: “I say to you, as a statement”: Declarative Speech Act, neutral (usually optional) {orig}",orig,,grammar,,
bil,"fun, to be fun",blank,,,,
bim,four (4) number {orig},orig,,number,,
bimethab,fourteen (14) number [bim=4 + thab=l0] {orig},orig,,number,,
bimeya,fourth [bim=four + -(e)ya=suffix for time] {AB&CH},new,,number,,
bin,"bowl, a round container open at the top, used for holding liquid, keeping fruit, serving food, etc. {orig}",orig,,object,,
bina,"anger with no reason, with no one to blame, which is not futile (See also: bara, bala, bama, bana) {orig}",orig,,neg emotion,,no
bini,"gift, to gift, to give a gift {orig}",orig,,object,,
bish,prize,blank,,object,,
bishib,"to be sudden, suddenly {orig}",orig,,,,
bithim,"to meet, to meet with, a meeting {Grammar Updates}",new,,,,
bo,mountain {orig},orig,,place,,
bó,"I command…; Command Speech Act, neutral (very rare except to small children) {orig}",orig,,grammar,,
bod,"1) line on a surface, line of a computer program {orig}",orig,,object,,no
bodehal,"rod, staff, stave [bod=line + -(e)hal=unusual degree] {new}",new,,object,,
bodibod,"program for a computer, to program a computer [bod=line + i=and] {orig}",orig,,object,,
bohí,to be short in length {AB},new,,,,
bol,fleecy-clouded skies {orig},orig,,,,no
bolith,to linger over something that one has the skill to complete quickly. {JB},new,,personal action,,no
bom,"oil, household oil, to oil {orig}",orig,,object,,
bom,penis {orig},orig,,sex,masc,
bon,"shirt, blouse {orig}",orig,,clothes,,
boó,three (3) number {orig},orig,,number,,
bóo,"I request…; Request Speech Act, neutral (polite, usual “command” form) {orig}",orig,,grammar,,
boóbidim,basket [boóbin (to braid) + dim (container)] {SH},new,,object,,
boóbil,ivy plant [boóbin (to braid) + thil (vine)] {SH},new,,plant,,
boóbin,"braid, to braid [boó=three] {orig}",orig,,personal action,,
bóodan,"rescue, save, to rescue, to save {orig}",orig,,personal action,,
boómi,"clover plant, oxalis [boó=three + mi=leaf] {SH}",new,,plant,,
boósh,"curve, to be curved {AB}",new,,,,
boóthab,thirteen (13) number [boó=3 + thab=l0] {orig},orig,,number,,
boóya,third [boó=three + -ya=suffix for time] {AB&CH},new,,number,,
bosh,"wood, general word for wood from a tree {orig}",orig,,material,,
boshoya,bark of tree [bosh=wood + oya=skin] {SH},new,,material,,
boshum,cloud [bo=mountain + shum=air] {orig},orig,,object,,
both,"hotel, motel {orig}",orig,,place,,
brada,"repeatedly, in a pattern fixed arbitaraily by human beings, repeatedly in an artificial pattern; Repetition Morpheme (see also bada, badan, bradan, bradá)",blank,,,,no
bradá,"repeatedly, in a what appears to be a pattern but cannot be demonstrated or proved to be one; Repetition Morpheme (see also bada, badan, brada, bradan)",blank,,,,no
bradan,"repeatedly, in a pattern fixed by humans by analogy to some phenomenon (such as the seasons) repetition morpheme (see also bada, badan, brada, bradá)",blank,,,,no
bre,"layer, material laid on or spread over a surface {orig}",orig,,material,,
bre…ébre,if .. then {orig},orig,,grammar,,
bremeda,onion [bre=layer + meda=vegetable] {orig},orig,,food,,
bretham,"spiral, to spiral [bre=layer + tham=circle] {SH}",new,,,,
bróo,because {orig},orig,,grammar,,
bú,"to be perverse, quirky, odd, hard to understand",blank,,,,no
bud,1) nine (9) number {orig},orig,,number,,
bud,2) clothing (general term) {orig},orig,,clothes,,
buda,buddha (loan word); should have a capital B when it refers to “the” Buddha {new},new,,spirituality,,
budahá,buddhist [buda=Buddha + -(h)á=doer] {new},new,,spirituality,,
budehalid,masquerade [bud=clothing + (e)halid=competition],blank,,clothes,,
budeshun,"ceremonial clothing, ritual clothing [bud=clothing + (e)shun=ceremony]",blank,,clothes,,
budethab,nineteen (19) number [bud=9 + thab=l0] {orig},orig,,number,,
budim,"wardrobe, [bud=clothing + dim=container] {orig}",orig,,clothes,,
búláa,"illusion, erroneous perception of reality [bú=perverse + láa=perception]",blank,,neg emotion,,no
búláalh,perverse/harmful illusion [bú=perverse + láa=perception + -lh=perjorative],blank,,neg emotion,,no
búlith,"crazy, insane [bú=perverse/odd + lith=think] {new}",new,,neg emotion,,
búsholan,alone “in the bosom of one’s family”,blank,,neg emotion,,no
buth,to gather (not used with people) (See also: lolin) {orig},orig,,personal action,,
buzh,"convention, “con”, conference, a large formal assembly of a group with common interests",blank,,,,
dáan,word (dan=language) {orig},orig,,,,
dáan i oyi,"body language [dáan=word, i=and, oyi=eye] {orig}",orig,,body,,
dáanashoná,poet {orig},orig,,person,,
dáanelom,poem [dáan=word + lom=song] {orig},orig,,object,,
dáanoline,word angel [dáan=word + noline=angel] {CF},new,,person,,no
dadem,picture {orig},orig,,object,,
dademadal,"embroidery, to embroider [dadem=picture + adal=sew] {CH}",new,,personal action,,
dahan,bed (short form),blank,,object,,
dal,thing {orig},orig,,object,,
dal waha,anything [dal=thing + waha=any] {AB},new,,grammar,,
dala,"frustration with reason, with someone to blame, which is not futile, to be frustrated (dama, dana, dara, dina= frustration)",blank,,neg emotion,,no
dala,"plant, any growing thing {orig}",orig,,plant,,
dalatham,berry [dala=plant + tham=circle] {orig},orig,,food,,
dale,"object, any made thing {orig}",orig,,object,,
dalebediwan,"desk [dale=object + bedi=learning + -wan=suffix for purpose, in order to] {orig}",orig,,object,,
dalehale,musical instrument {Grammar Updates},new,,object,,
dalehanawan,"bed [dale=object + áana=sleep + -wan=suffix for purpose, in order to] {orig}",orig,,object,,
dalehebewan,"sales table [dale=object + (h)eb=buy,sell + (e)wan=in order to, purpose]",blank,,object,,no
dalemath,"warehouse, storehouse [dale=object + math=building] {orig}",orig,,place,,
daleshun,ceremonial object [dale=object + shun=ceremony] {Grammar Updates},new,,spirituality,,
dalethodewan,"writing implement [dale=object + thod=to write + -(e)wan=sufiix for purpose, in order to]",blank,,object,,
dalewodewan,"chair [dale=object + wod=to sit + -wan-suffix for purpose, in order to] {orig}",orig,,object,,
daleyodewan,"table [dale=object + yod=to eat + -wan=suffix for purpose, in order to] {orig}",orig,,object,,
dam,"to manifest, to show signs of some state or emotion, used like English ‘seem’ {orig}",orig,,neut emotion,,
dama,"to touch, to feel with the skin. Active touching, feeling. “I am feeling the texture of the yarn.” (see láad oyanan, passive touch) {orig}",orig,,,,
dama,"frustration with reason, without someone to blame, which is futile, to be frustrated (dala, dana, dara, dina= frustration)",blank,,neg emotion,,no
damash,exhibitionisticly demonstrate one’s skill (not a pejorative) [dam=manifest + ash=star] {new},new,,personal action,,no
dan,language (dáan=word) {orig},orig,,,,
dana,"frustration with reason, without someone to blame, which is not futile, to be frustrated (dala, dama, dara, dina= frustration)",blank,,neg emotion,,no
dara,"frustration with reason, with someone to blame, which is futile, to be frustrated (dala, dama, dana, dina= frustration)",blank,,neg emotion,,no
dash,tooth {orig},orig,,body,,
dashelámála,"nibble, caress with teeth [dash=tooth + lámála=caress] {new}",new,,sex,,no
dashobe,"bite, to bite [dash=tooth + obe=through] {SH}",new,,food,,
dashobin,to chew {SH},new,,food,,
dath,point {SH},new,,personal action,,
dathi,needle {SH},new,,object,fem,
dathidal,pin (noun) [dathi=needle + dal=thing] {SH},new,,object,fem,
dathim,"needlework, to needlework {orig}",orig,,personal action,fem,
dathimemid,spider [dathim=needlework + mid=creature] {orig},orig,,animal,,
dathimezhub,spider [dathim=needlework + zhub=insect] {new},new,,animal,,
dathimi,"conifer, pine tree [dathi=needle + mi=leaf] {SH}",new,,plant,,
dathimid,"hedgehog (American English, porcupine) [dathi=needle + mid=creature] {new}",new,,animal,,
dathimithede,amber (the gem) [dathimi=pine + thede=jewel] {AB},new,,material,,
dazh,"to be yielding, pliant, soft {orig}",orig,,,,
dazhéeb,rubber [dazh=yielding + éeb=juice] {new},new,,material,,
debe,one-hundred (100) {orig},orig,,number,,
debe i nede,one-hundred-and-one (101) [debe=100 + i=and + nede=1] {orig},orig,,number,,
dedide,story {orig},orig,,,,
dedidebud,costume [dedide=story + bud=clothing],blank,,clothes,,
dedideheril,"herstory, the stories women tell of their past, usually based on interpersonal relationships: births, deaths, relocations, marriages, etc.; “Mary was pregnant with her second when…”, “Just about the time the tribe moved to…” Differentiated from “eri=>history” in that “eri” strives for neutral record keeping, whereas both “dedideheril” and “dedideherilid” stress the story of the past. [dedide=story + (h)eril=past] {new}",new,,,fem,no
dedideherilid,"his-story; the stories men tell of their past, usually based on wars, conquests, major disasters; the way the past is told in most late 20th century “history” books. Differentiated from “eri=>history” in that “eri” strives for neutral record keeping, whereas both “dedideheril” and “dedideherilid” stress the story of the past. [dedide=story + (h)eril=past + -id=male] {new}",new,,,masc,no
dedidelom,opera [dedide=story + lom=song] {new},new,,place,,
dedidethodá,"novelist, storywriter [dedide=story + thod=write + -á=doer] {new}",new,,person,,
dedidewoth,"myth, does not mean untruth [dedide=story; woth=wisdom] {orig}",orig,,spirituality,,no
déedan,to interpret [dan=language] {orig},orig,,,,
déela,garden {orig: SH},new,,place,,
déeladáan,sentence [déela=garden + dáan=word] {orig},orig,,,,
déethel,flute {orig},orig,,object,,
dehena,"friendliness, despite negative circumstances, to be friendly (dena, dina, dona, duna=friendliness) {orig}",orig,,pos emotion,,no
deheni,meat {orig},orig,,food,,
dehenihá,butcher (of meat) [deheni=meat + -(h)á=suffix for doer],blank,,person,,
del,radio {orig},orig,,object,,
delin,space (outer) {orig},orig,,place,,
delishe,"to weep, cry (not said of babies) {orig}",orig,,"neg emotion, personal action",,
delith,hair {orig},orig,,body,,
dem,window {orig},orig,,object,,
demá,someone you can see right through [dem=window + -á=suffix for doer] {orig},orig,,relationship,,no
demáazh,tractor {new},new,,object,,
demeren,"curtain [dem=window + ren=rug, carpet] {orig}",orig,,object,,
den,"help, to help {orig}",orig,,personal action,,
dena,"friendliness for good reason, to be friendly (dehena, dina, dona, duna= friendliness) {orig}",orig,,pos emotion,,no
dená,"assistant, helper",blank,,person,,
desh,drug {orig},orig,,object,,
desháana,"to menstruate early, menstruation [osháana=to menstruate] {orig}",orig,,sex,fem,no
deshara,depression as a side effect of medication {DK},new,,neg emotion,,no
di,"to speak, say, tell, talk {orig}",orig,,personal action,,
dib,towel {orig},orig,,object,,
dibithim,to greet [di=say + bithim=to meet] {CH},new,,social,,
dide,to be early {orig},orig,,,,
didehal,"beginning career, early career, the first career you take after college [dide=early + hal=work] (see ruhobeha, shawithehall) {new}",new,,person,,no
dideshá,hours between dawn and rising time {SH},new,,time,,
dihá,speaker [di=to say; -á=suffix for doer] {orig},orig,,,,
diharil,predict; foretell [di=speak + aril=future],blank,,,,
diheril,reminisce; recount past events [di=speak + eril=past] {AB},new,,neut emotion,,
dihomedal,"panel, convention panel discussion [di=talk + hom=teach + (e)dal=thing]",blank,,,,
diídin,holiday {orig},orig,,time,,
dim,container {orig},orig,,object,,
dimidim,"cupboard, dresser [dim=container + i=and + dim=container] {orig}",orig,,object,,
dimil,"lavish, luxurious, sumptuous {AB}",new,,,,
dimilin,ornament {orig},orig,,object,,
dimod,"bag, sack, purse [dim=container + od=cloth] {orig}",orig,,object,,
dimóowa,stove [dim=container + óowa=fire] {orig},orig,,food,,
dina,"friendliness for no reason, to be friendly (dehena, dena,dona, duna=friendliness) {orig}",orig,,pos emotion,,no
dina,"frustration without reason, without someone to blame, which is not futile, to be frustrated (dala, dama, dana, dara = frustration)",blank,,neg emotion,,no
dínídin,toy {orig},orig,,object,,
dinime,to be beholden {orig},orig,,relationship,,
dishóodal,to tell news [di=tell + shóo=happen; come to pass + dal=thing] {AB},new,,,,no
dith,voice {orig},orig,,body,,
dithal,"praise, to praise [dith=voice + thal=good] {orig}",orig,,spirituality,,
dithemid,cow [dith=voice + mid=creature] {orig},orig,,animal,,
dizh,kettle {orig},orig,,object,,
do,to be strong {orig},orig,,,,
dob,shelf {orig},orig,,object,,
dod,"to fast (not eat), fast {orig}",orig,,personal action,,
dodel,"interface, to interface (It would be appropriate for the interface the linguists used in the Native Tongue trilogy to let their infants acquire Alien languages natively; it would be appropriate for the interface that was used to allow human/dolphin interaction in that area of research. It would be appropriate for those diagrams that show two or more areas with overlapping bits — territory where both or all of the areas overlap.) {orig}",orig,,,,no
dodi,tray {orig},orig,,object,,
dóhada,be funny; be comical {new},new,,,,
dóhibeyóo,to fold {new},new,,personal action,fem,
dóhin,"to create, enact [dó-=cause to + (h)in=exist] {new}",new,,personal action,,
dóho,"wrap, to wrap [dó-=cause to + o=around] {new}",new,,personal action,,
dol,root {orig},orig,,plant,,
dolelith,principle [dol=root + lith=thought] {Grammar Updates},new,,,,
dólhorado,to dominate with evil intent [dórado=to dominate + lh=negative connotation] {orig},orig,,neg emotion,,no
doluth,spine (body part) {orig},orig,,body,,
dom,to remember {orig},orig,,,,
domesh,rosemary {SH},new,,food,,
domid,elephant [dom=remember + mid=creature] {orig},orig,,animal,,
don,comb {orig},orig,,object,,
dona,"friendliness for foolish reasons, to be friendly (dehena, dena, dina, duna=friendliness) {orig}",orig,,pos emotion,,no
doni,"ground, dirt, earth, soil {orig}",orig,,material,,
Doni,Earth (the planet),blank,,place,,
donidan,lovingkindness {orig},orig,,pos emotion,,no
donidaná,"lovingkindnesser, one who channels lovingkindness [donidan=lovingkindness + -á=suffix for doer] {orig}",orig,,pos emotion,,no
donihum,"plow, to plow [doni=ground + hum=knife] {new}",new,,object,,
donili,mud {SH},new,,material,,
donilihud,"brick, thing you make walls out of, to brick [donili=mud + ud=stone] {new}",new,,material,,
donim,shovel [doni=ground + im=travel] {SH},new,,object,,
donithen,earthquake [doni=earth + then=to break] {orig},orig,,,,
dóo,well…. (phrase) {orig},orig,,grammar,,
doól,"at last, finally {orig}",orig,,grammar,,
doóledosh,pain or loss which comes as a relief by virtue of ending the anticipation of its coming [doól=at last + dosh=burden] {orig},orig,,pos emotion,,no
doólelasholan,alone at last after tiresome experience or people [doól+ela+sholan],blank,,pos emotion,,no
doóleshol,relief [doól=al last + shol=absence-of-pain] {SH},new,,pos emotion,,
dóolon,violin {orig},orig,,object,,
dóon,to be correct {orig},orig,,,,
dóonenal,correctly,blank,,,,
dórado,to dominate {orig},orig,,relationship,,
doroledim,"(sublimation with food accompanied by guilt about that sublimation) This word has no English equivalent whatsoever. Say you have an average woman. She has no control over her life. She has little or nothing in the way of a resource for being good to herself, even when it is necessary. She has family and animals and friends and associates that depend on her for sustenance of all kinds. She rarely has adequate sleep or rest; she has no time for herself, no space of her own, little or no money to buy things for herself, no opportunity to consider her own emotional needs. She is at the beck and call of others, because she has these responsibilities and obligations and does not choose to (or cannot) abandon them. For such a woman, the one and only thing she is likely to have a little control over for indulging her own self is FOOD. When such a woman overeats, the verb for that is “doroledim”. (And then she feels guilty, because there are women whose children are starving and who do not have even THAT option for self-indulgence… ) {orig}",orig,,neg emotion,,no
dosh,burden {orig},orig,,,,
doth,to follow {orig},orig,,relationship,,
dóthad,"to enable, to make possible or easy [dó=cause-to + thad=to be able]",blank,,relationship,,
dóthadá,"enabler, one who enables, makes things possible or easy [dó=cause-to + thad=to be able + á=suffix for doer]",blank,,person,,
dóthadelh,to enable another to persist in self-destructive behavior (for instance substance abuse) by providing excuses or by helping that individual avoid the consequences of such behavior [dó-=cause-to + thad=to be able + -(e)lh=pejorative],blank,,relationship,,no
dóthadelhá,"enabler, one who enables another to persist in self-destructive behavior (for instance substance abuse) by providing excuses or by helping that individual avoid the consequences of such behavior [dó-=cause-to + thad=to be able + -(e)lh-=pejorative + -á=suffix for doer]",blank,,person,,no
doyáanin,oak [do=strong + yáanin=tree] {SH},new,,plant,,
dóyom,"protect, shield, safeguard [dó- =cause to + yom=be safe] {AB}",new,,,,
doyu,apple [do=strong + yu=fruit] {orig},orig,,food,,
dul,"to give rest, to refresh {orig}",orig,,,,
dumidal,fox [mid=creature] {orig},orig,,animal,,
dun,"meadow, field {orig}",orig,,place,,
duna,"friendliness for bad reasons, to be friendly (dehena, dena, dina, dona= friendliness) {orig}",orig,,neg emotion,,no
dush,"to have to, to be obliged to",blank,,relationship,,
duth,to use {orig},orig,,,,
dutha,to heal {orig},orig,,health,,
duthahá,healer [dutha=to heal + -á=suffix for doer] {orig},orig,,person,,
duthahod,"bandage, to bandage [dutha=to heal + od=cloth] {orig}",orig,,health,,
duthahoth,hospital [dutha=to heal + hoth=place] {orig},orig,,health,,
duthamazh,ambulance [dutha=to heal + mazh=car] {orig},orig,,health,,
duthawish,anesthesia [dutha+wish] {orig},orig,,health,,
duthesh,herbal remedy {SH},new,,health,,
dutheshara,depression as a side effect of herbal remedy {DK},new,,neg emotion,,no
e,"or, either {orig}",orig,,grammar,,
eb,"to buy, to sell {orig}",orig,,,,
eba,"spouse (“Bíi eril X i Y meheba wa.” [X and Y got married. (More literally, “X and Y spoused.”) The verb gets the plural prefix and an epenthetic H.] Láadan wouldn’t allow “X married Y” or “Y married X,” which presuppose that marrying is something one person can do to another. It has to be a joint action, done together.) {orig}",orig,,relationship,,no
ebá,buyer or seller,blank,,person,,
ebahóol,deity (male) [spouse of the moon eba+óol] {CF},new,,spirituality,masc,no
ebalá,baker [science of bread doer],blank,,person,,
ebid,neurology [e-=prefix for science of + bid=nerve] {orig},orig,,science,,
ebod,ceramics [e-=prefix for science of + bod=dish] {orig},orig,,object,,
